Species.Name,AphiaID,Match type,ScientificName,Authority,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Abra alba,141433,exact,Abra alba,"(W. Wood, 1802)",accepted,141433,Abra alba,"(W. Wood, 1802)",Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,alba,
Abra prismatica,141436,exact,Abra prismatica,"(Montagu, 1808)",accepted,141436,Abra prismatica,"(Montagu, 1808)",Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,prismatica,
Acanthoceras zachariasii,178990,exact,Acanthoceras zachariasii,"(Brun) Simonsen, 1979",accepted,178990,Acanthoceras zachariasii,"(Brun) Simonsen, 1979",Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Acanthoceras,,zachariasii,
Acari,292684,exact,Acari,"Leach, 1817",accepted,292684,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,
Acartia,104108,exact,Acartia,"Dana, 1846",accepted,104108,Acartia,"Dana, 1846",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,,
Acartia bifilosa,104249,exact,Acartia bifilosa,"(Giesbrecht, 1881)",alternate representation,345919,Acartia (Acanthacartia) bifilosa,"(Giesbrecht, 1881)",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,bifilosa,
Acartia danae,104252,exact,Acartia danae,"Giesbrecht, 1889",alternate representation,346026,Acartia (Acartia) danae,"Giesbrecht, 1889",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,danae,
Acartia longiremis,104257,exact,Acartia longiremis,"(Lilljeborg, 1853)",alternate representation,346037,Acartia (Acartiura) longiremis,"(Lilljeborg, 1853)",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,longiremis,
Acartia negligens,104259,exact,Acartia negligens,"Dana, 1849",alternate representation,346030,Acartia (Acartia) negligens,"Dana, 1849",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,negligens,
Acartia tonsa,104262,exact,Acartia tonsa,"Dana, 1849",alternate representation,345943,Acartia (Acanthacartia) tonsa,"Dana, 1849",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,tonsa,
Achnanthes brevipes,149387,exact,Achnanthes brevipes,"C.Agardh, 1824",accepted,149387,Achnanthes brevipes,"C.Agardh, 1824",Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,brevipes,
Achnanthes lemmermannii,160636,exact,Achnanthes lemmermannii,"Hustedt, 1933",accepted,160636,Achnanthes lemmermannii,"Hustedt, 1933",Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,lemmermannii,
Achnanthes longipes,156533,exact,Achnanthes longipes,"C.Agardh, 1824",accepted,156533,Achnanthes longipes,"C.Agardh, 1824",Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,longipes,
Achnanthes taeniata,961159,exact,Achnanthes taeniata,"Gran, 1897",uncertain,961159,Achnanthes taeniata,"Gran, 1897",Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,taeniata,
Achnanthidium minutissimum,163594,exact,Achnanthidium minutissimum,"(Kützing) Czarnecki, 1994",alternate representation,973710,Achnanthes minutissima var. minutissima,"Kützing, 1833",Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,minutissimum,
Actinia equina,100803,exact,Actinia equina,"(Linnaeus, 1758)",accepted,100803,Actinia equina,"(Linnaeus, 1758)",Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,,equina,
Actinocyclus normanii,148945,exact,Actinocyclus normanii,"(Gregory) Hustedt, 1957",accepted,148945,Actinocyclus normanii,"(Gregory) Hustedt, 1957",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,normanii,
Actinocyclus normanii f. subsalsus,157433,exact,Actinocyclus normanii f. subsalsus,(Juhlin-Dannfelt) Hustedt,accepted,157433,Actinocyclus normanii f. subsalsus,(Juhlin-Dannfelt) Hustedt,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,normanii,
Actinocyclus octonarius,149164,exact,Actinocyclus octonarius,"Ehrenberg, 1837",unaccepted,149163,Actinoptychus octonarius,"(Ehrenberg) Kützing, 1844",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,octonarius,
