HarbourName,Date,Depth,OrganismsGroup,Species Name,Ident.Certain,Comments,Comments 2
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,4,Mobile epifauna,Gammarus salinus,yes,,
Hull,20-09-15,11,Fouling organisms,Gammarus salinus,yes,,
Hull,20-09-15,,Zooplankton,Gastropoda,yes,,
Hull,20-09-15,,Phytoplankton,Guinardia delicatula,yes,,
Hull,20-09-15,11,Fouling organisms,Halichondria bowerbanki,yes,,
Hull,20-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,20-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,20-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,20-09-15,,Phytoplankton,Heterocapsa minima,yes,,
Hull,20-09-15,,Phytoplankton,Lithodesmium undulatum,yes,,
Hull,20-09-15,11,Fouling organisms,Littorina obtusata,yes,,
Hull,20-09-15,5,Fouling organisms,Conopeum reticulum,yes,,
Hull,20-09-15,,Zooplankton,Copepoda sp.,yes,nauplii,
Hull,20-09-15,9,Benthos,Corophium volutator,yes,,
Hull,20-09-15,,Gelatineus Zooplankton,Corophium volutator,yes,,
Hull,20-09-15,,Zooplankton,Cyclopoida,yes,copepodiet,
Hull,20-09-15,11,Fouling organisms,Elachista fucicola,yes,,
Hull,20-09-15,,Pathogens,Intestinal enterococci,yes,,
Hull,20-09-15,,Pathogens,Escherichia coli,yes,,
Hull,20-09-15,11,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,20-09-15,4,Mobile epifauna,Aurelia aurita,yes,,
Hull,20-09-15,9,Benthos,Elminius modestus,yes,,
Hull,20-09-15,11,Fouling organisms,Blidingia marginata,yes,,
Hull,20-09-15,,Phytoplankton,Brockmanniella brockmannii,yes,,
Hull,20-09-15,,Zooplankton,Calanoidea,yes,copepodiet,
Hull,20-09-15,,Phytoplankton,Campylosira cymbelliformis,yes,,
Hull,20-09-15,5,Fouling organisms,Carcinus maenas,yes,,
Hull,20-09-15,11,Fouling organisms,Carcinus maenas,yes,,
Hull,20-09-15,5,Fouling organisms,Obelia geniculata,yes,,
Hull,20-09-15,5,Fouling organisms,Orchestia gammarellus,yes,,
Hull,20-09-15,4,Mobile epifauna,Plocamium cartilagineum,yes,,
Hull,20-09-15,5,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,20-09-15,11,Benthos,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,5,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,,Pathogens,Vibrio spp.,yes,,
Hull,20-09-15,11,Fouling organisms,Blidingia minima,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,,Phytoplankton,Actinocyclus octonarius,yes,,
Hull,20-09-15,,Phytoplankton,Actinoptychus senarius,yes,,
Hull,20-09-15,,Phytoplankton,Actinoptychus splendens,yes,,
Hull,20-09-15,5,Fouling organisms,Aglaothamnion roseum,yes,,
Hull,20-09-15,5,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,20-09-15,11,Fouling organisms,Pterothamnion sp.,yes,,
Hull,20-09-15,,Zooplankton,Tunicata,yes,,
Hull,20-09-15,5,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,20-09-15,4,Mobile epifauna,Blidingia minima,yes,,
Hull,20-09-15,5,Fouling organisms,Callopora dumerilii,yes,,
Hull,20-09-15,11,Benthos,Hediste diversicolor,yes,,
Hull,20-09-15,9,Benthos,Monocorophium acherusicum,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,4,Mobile epifauna,Gobius niger,yes,,
Hull,20-09-15,,Gelatineus Zooplankton,Monocorophium acherusicum,yes,,
Hull,20-09-15,11,Benthos,Neomysis vulgaris,yes,,
Hull,20-09-15,,Gelatineus Zooplankton,Neomysis vulgaris,yes,,
Hull,20-09-15,11,Fouling organisms,Obelia longissima,yes,,
Hull,20-09-15,5,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,20-09-15,5,Benthos,Polysiphonia fucoides,yes,,
Hull,20-09-15,5,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,20-09-15,11,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,20-09-15,11,Fouling organisms,Blidingia marginata,yes,,
Hull,20-09-15,11,Fouling organisms,Blidingia marginata,yes,,
Hull,20-09-15,,Zooplankton,Calanoidea,yes,,
Hull,20-09-15,11,Mobile epifauna,Carcinus maenas,yes,,
Hull,20-09-15,5,Fouling organisms,Conopeum reticulum,yes,,
Hull,20-09-15,9,Benthos,Corophium volutator,yes,,
