Baltic,North sea,est/cand,ScientificName_accepted,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Form,Area of origin,Sub basins,First observed year,Status,Characteristics,Salinityn max,Salinity n min,Salinity b max,Salinity b min,Vector,Impact,Impact severeness,Comments
no,yes,est,Acartia (Acanthacartia) tonsa,345943,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acanthacartia,tonsa,,Free swimming,"IndoPacific, North America","GoB, GoF, GoR, K, OL, BP11, VL11",1924,Established,Zooplankton suspension feeder and ambush predator. ,30,18,30,5,Shipping,Competition,,
yes,yes,est,Alexandrium acatenella,233407,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,acatenella,,,Pacific,,,,,40,10,,,,,,
no,yes,est,Alexandrium monilatum,231875,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,monilatum,,,North America Paav),,,,,,,,,,,,
yes,no,est,Alexandrium ostenfeldii,109712,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,ostenfeldii,,,,,,,,21,5,,,,,,
no,yes,est,Amphibalanus eburneus,421138,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,,eburneus,,,Western Atlantic,,,,,,,,,,,,
no,yes,est,Anadara transversa,156734,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Anadara,,transversa,,,IndoPacific,,,,,36.2,32.4,,,Shipping (ballast water) ,"Competition, habitat change",,
yes,yes,est,Arcuatula senhousia,505946,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,,senhousia,,,"WPacific, from Siberia, the Kurile Islands, Japan, and Korea along the China coast to Singapore",,,,Pelagic larve is dispered by currents,35,17,,,"Stocking, ships'seawater system, ballast water or ",Habitat change,,
yes,yes,est,Asterias amurensis,254497,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,,amurensis,,,Eastern Asia,,,,,41,18,,,,,,
no,yes,est,Brachidontes pharaonis,140437,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Brachidontes,,pharaonis,,,"Indian Ocean, Red Sea ",,,,"Yearround reproduction, planktonic larvae",35,35,,,"Shipping, hull fouling and perhaps with ballast water (Planktonic larvae)","Competition, habitat change, constructions",,"Can deplete the phytoplankton concentration in the water column, constraining the growth of other filterfeeding animals. It locally displaces the native mytillid, Mytlaster minimus, by interferring with its recruitment and detrimentally affecting its survival and growth. It has become very abundant in shallow subtidal rocky habitats and has changed the identity and diversity of these biocommunities. Dense mats of this specis in industrial facilities and salt works might result in high energy consumption and economic losses."
yes,yes,est,Callinectes sapidus,107379,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,,sapidus,,Free swimming,North America,"K, BP40",1951,Not established?,"Benthic deposit feeder, predator. ",40,3,,,"Shipping, unknown",Competition,,
yes,yes,est,Caprella mutica,146768,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,mutica,,,,,,,,40,16,,,,,,
no,yes,est,Caulerpa cylindracea,660621,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,,cylindracea,,,South western Australia,,,,Widely distributed in warm temperate and tropical seas. Grows from intertidal down to 6m reef flats and in the Mediterranean 070m (highest abundance 030m),37.7,34.3,,,"Shipping (ballast water, hull fouling) released",Habitat change,,Drastic change in the composition of the phytobenthos. Able to grow on other seeweed and completely cover the invaded ares with a dense mat.
no,yes,est,Caulerpa taxifolia,144476,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,,taxifolia,,,"Caribbean coasts, Gulf of Guinea, Red Sea, East African coast, Maldives, Seychelles, northern Indian Ocean",,,,,,,,,,,,
yes,yes,est,Cercopagis (Cercopagis) pengoi,234025,Animalia,Arthropoda,Branchiopoda,Onychopoda,Cercopagididae,Cercopagis,Cercopagis,pengoi,,Zooplanktic,PontoCaspian,"BP, CL, GoB, GoF, GoR, K, VL",1992,Established,"Zooplankton, predator.",10,0.5,10,0.5,Shipping,"Foodweb, competition, fisheries",,
no,yes,est,Chama pacifica,139120,Animalia,Mollusca,Bivalvia,,Chamidae,Chama,,pacifica,,,IndoWest Pacific,,,,Pelagic larve. Chamids are stenohaline nearshore inhabitants of rockey shores and coral reef communities. Their poor ability to withstand lowered salinity prevent their colonization of estuarine regions.,35.5,35.2,,,"Currents, shipping (ballast water or hull fouling)",Competition,,It formed dense populationsin the form of massive oyster beds in many locations in the eastern Mediterranean. The native Chama gryphoides and the thorny oyster Spondylus gaederopus were almost replaced by Chama pacifica
no,yes,est,Chionoecetes opilio,107315,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,,"Arctic seas of the North Pacific to Japan and Korea, the Bering Sea, Alaska and west coast of Canada and NW Atlantic coast of Canada to Main and west coast of Greenland",,,,"Subarctic species, Temp < 5°C
",35.1,31,,,Assumed ballast water,Invaded all areas,,"It is assumed to have serve impact on the arctic benthic ecosystem
"
yes,yes,est,Corbicula fluminea,181580,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,,fluminea,,Benthic,"Southern and eastern Asia, Australia, and Africa",,,,,5,0,,,,"Competition, foodweb, water abstractions",,"Nord See, von Karin"
yes,yes,est,Coscinodiscus wailesii,156632,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,wailesii,,Phytoplanktic,"IndoPacific, North America",K,19772,Established,"Phytoplankton, autotroph.",40,18,30,5,"Associated, Shipping","Competition, habitat change, aquaculture, fisheries, water quality",,
yes,yes,est,Magallana gigas,836033,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,,gigas,,Fouling,Japan Sea,"K, LF11, KF11",1985,Established 2,Benthic suspension feeder.,42,12,10,5,Stocking,"competition, habitat change, hybridization, transfer of parasites and diseases,  aquaculture, fisheries, tourism ",,Nobanis fact sheet: http://www.nobanis.org/files/factsheets/Crassostrea_gigas.pdf
