ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Acartia (Acanthacartia) tonsa,345943,exact,Acartia (Acanthacartia) tonsa,accepted,345943,Acartia (Acanthacartia) tonsa,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acanthacartia,tonsa,
Alexandrium acatenella,233407,exact,Alexandrium acatenella,accepted,233407,Alexandrium acatenella,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,acatenella,
Alexandrium monilatum,231875,exact,Alexandrium monilatum,accepted,231875,Alexandrium monilatum,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,monilatum,
Alexandrium ostenfeldii,109712,exact,Alexandrium ostenfeldii,accepted,109712,Alexandrium ostenfeldii,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,,ostenfeldii,
Amphibalanus eburneus,421138,exact,Amphibalanus eburneus,accepted,421138,Amphibalanus eburneus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,,eburneus,
Anadara transversa,156734,exact,Anadara transversa,accepted,156734,Anadara transversa,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Anadara,,transversa,
Arcuatula senhousia,505946,exact,Arcuatula senhousia,accepted,505946,Arcuatula senhousia,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,,senhousia,
Asterias amurensis,254497,exact,Asterias amurensis,accepted,254497,Asterias amurensis,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,,amurensis,
Brachidontes pharaonis,140437,exact,Brachidontes pharaonis,accepted,140437,Brachidontes pharaonis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Brachidontes,,pharaonis,
Callinectes sapidus,107379,exact,Callinectes sapidus,accepted,107379,Callinectes sapidus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,,sapidus,
Caprella mutica,146768,exact,Caprella mutica,accepted,146768,Caprella mutica,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,mutica,
Caulerpa cylindracea,660621,exact,Caulerpa cylindracea,accepted,660621,Caulerpa cylindracea,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,,cylindracea,
